TITLE	N-GQD_CA_NO2
654,7145	80,3555
655,6788	80,2648
656,6430	80,2866
657,6072	80,4688
658,5715	80,8289
659,5357	81,4035
660,4999	82,236
661,4642	83,2859
662,4284	84,3453
663,3926	85,0462
664,3569	84,9121
665,3211	83,4048
666,2853	80,0978
667,2496	75,3154
668,2138	70,9789
669,1780	69,5489
670,1423	71,2263
671,1065	74,2132
672,0707	76,9493
673,0350	78,7668
673,9992	79,5731
674,9634	79,5855
675,9277	79,1925
676,8919	78,7895
677,8561	78,6117
678,8204	78,6916
679,7846	78,95
680,7488	79,3032
681,7131	79,7069
682,6773	80,1447
683,6415	80,606
684,6058	81,0828
685,5700	81,5794
686,5342	82,1169
687,4985	82,722
688,4627	83,4083
689,4269	84,1653
690,3912	84,9625
691,3554	85,7653
692,3196	86,5485
693,2839	87,3034
694,2481	88,0336
695,2123	88,7476
696,1766	89,4493
697,1408	90,1336
698,1050	90,7901
699,0693	91,4127
700,0335	92,0072
700,9977	92,59
701,9620	93,1759
702,9262	93,7637
703,8904	94,3326
704,8547	94,8523
705,8189	95,2993
706,7831	95,6666
707,7474	95,9588
708,7116	96,1848
709,6758	96,3592
710,6401	96,5117
711,6043	96,6861
712,5685	96,9103
713,5328	97,1479
714,4970	97,2729
715,4612	97,1101
716,4255	96,537
717,3897	95,5931
718,3539	94,5238
719,3182	93,7026
720,2824	93,4452
721,2466	93,8225
722,2109	94,6223
723,1751	95,4921
724,1393	96,1441
725,1036	96,4781
726,0678	96,5717
727,0320	96,5795
727,9963	96,62
728,9605	96,7188
729,9247	96,8304
730,8890	96,9027
731,8532	96,9236
732,8174	96,9203
733,7817	96,9263
734,7459	96,9511
735,7101	96,9764
736,6744	96,9766
737,6386	96,9403
738,6028	96,8762
739,5671	96,8035
740,5313	96,7362
741,4955	96,6759
742,4598	96,6145
743,4240	96,5436
744,3882	96,4621
745,3525	96,3769
746,3167	96,2976
747,2809	96,2298
748,2452	96,1709
749,2094	96,1134
750,1736	96,0529
751,1379	95,9951
752,1021	95,9557
753,0663	95,9476
754,0306	95,9653
754,9948	95,9769
755,9590	95,9361
756,9233	95,8112
757,8875	95,6124
758,8517	95,3968
759,8160	95,2418
760,7802	95,2019
761,7444	95,2758
762,7087	95,4048
763,6729	95,5048
764,6371	95,5109
765,6014	95,4074
766,5656	95,2237
767,5298	95,0048
768,4941	94,7817
769,4583	94,561
770,4225	94,3382
771,3868	94,1175
772,3510	93,9195
773,3152	93,7677
774,2795	93,6683
775,2437	93,5975
776,2079	93,5111
777,1722	93,3686
778,1364	93,1565
779,1006	92,8941
780,0649	92,6191
781,0291	92,3641
781,9933	92,1393
782,9576	91,9315
783,9218	91,7155
784,8860	91,4701
785,8503	91,1877
786,8145	90,8747
787,7787	90,5453
788,7430	90,2147
789,7072	89,8949
790,6714	89,5951
791,6357	89,3224
792,5999	89,0794
793,5641	88,8618
794,5284	88,6557
795,4926	88,4401
796,4568	88,1945
797,4211	87,9086
798,3853	87,5884
799,3495	87,2516
800,3138	86,917
801,2780	86,5919
802,2422	86,2681
803,2065	85,9305
804,1707	85,5707
805,1349	85,1965
806,0992	84,8279
807,0634	84,4823
808,0276	84,1584
808,9919	83,8344
809,9561	83,4814
810,9203	83,0865
811,8846	82,6663
812,8488	82,2604
813,8130	81,9062
814,7773	81,6128
815,7415	81,3525
816,7057	81,0761
817,6700	80,7416
818,6342	80,3336
819,5984	79,8593
820,5627	79,3247
821,5269	78,7135
822,4911	77,9866
823,4554	77,105
824,4196	76,0572
825,3839	74,8628
826,3481	73,5471
827,3123	72,1039
828,2766	70,4865
829,2408	68,6504
830,2050	66,6349
831,1693	64,6362
832,1335	63,0146
833,0977	62,2098
834,0620	62,5898
835,0262	64,3009
835,9904	67,1925
836,9547	70,8518
837,9189	74,7322
838,8831	78,3135
839,8474	81,2306
840,8116	83,3305
841,7758	84,6535
842,7401	85,3652
843,7043	85,6736
844,6685	85,7621
845,6328	85,7554
846,5970	85,7173
847,5612	85,6704
848,5255	85,6198
849,4897	85,5707
850,4539	85,5317
851,4182	85,5081
852,3824	85,4952
853,3466	85,4768
854,3109	85,4328
855,2751	85,3499
856,2393	85,2283
857,2036	85,0809
858,1678	84,9267
859,1320	84,7825
860,0963	84,6585
861,0605	84,5575
862,0247	84,475
862,9890	84,4009
863,9532	84,3203
864,9174	84,2164
865,8817	84,0767
866,8459	83,9005
867,8101	83,7043
868,7744	83,5197
869,7386	83,3817
870,7028	83,3131
871,6671	83,3116
872,6313	83,3475
873,5955	83,3774
874,5598	83,3661
875,5240	83,3043
876,4882	83,2135
877,4525	83,133
878,4167	83,0988
879,3809	83,1281
880,3452	83,2163
881,3094	83,3472
882,2736	83,5037
883,2379	83,6718
884,2021	83,8349
885,1663	83,9673
886,1306	84,036
887,0948	84,0145
888,0590	83,898
889,0233	83,7105
889,9875	83,4951
890,9517	83,2927
891,9160	83,1229
892,8802	82,9778
893,8444	82,8311
894,8087	82,6555
895,7729	82,4357
896,7371	82,1724
897,7014	81,8767
898,6656	81,5629
899,6298	81,2442
900,5941	80,9312
901,5583	80,6319
902,5225	80,3498
903,4868	80,0823
904,4510	79,8216
905,4152	79,5583
906,3795	79,2859
907,3437	79,0022
908,3079	78,7071
909,2722	78,3979
910,2364	78,0683
911,2006	77,7102
912,1649	77,3198
913,1291	76,9014
914,0933	76,4665
915,0576	76,0294
916,0218	75,6011
916,9860	75,1862
917,9503	74,7833
918,9145	74,3872
919,8787	73,9915
920,8430	73,591
921,8072	73,1833
922,7714	72,7701
923,7357	72,3586
924,6999	71,9588
925,6641	71,5812
926,6284	71,2323
927,5926	70,9125
928,5568	70,6162
929,5211	70,3343
930,4853	70,0564
931,4495	69,7737
932,4138	69,48
933,3780	69,1738
934,3422	68,858
935,3065	68,5391
936,2707	68,2243
937,2349	67,918
938,1992	67,6212
939,1634	67,3313
940,1276	67,0457
941,0919	66,7628
942,0561	66,4829
943,0203	66,2065
943,9846	65,9338
944,9488	65,665
945,9130	65,4023
946,8773	65,1494
947,8415	64,9103
948,8057	64,6869
949,7700	64,4772
950,7342	64,2777
951,6984	64,0861
952,6627	63,9045
953,6269	63,7387
954,5911	63,5939
955,5554	63,4705
956,5196	63,3619
957,4838	63,257
958,4481	63,1454
959,4123	63,0237
960,3765	62,8979
961,3408	62,7813
962,3050	62,6874
963,2692	62,6232
964,2335	62,5832
965,1977	62,5507
966,1619	62,504
967,1262	62,4257
968,0904	62,3116
969,0546	62,1721
970,0189	62,0276
970,9831	61,8978
971,9473	61,7929
972,9116	61,7099
973,8758	61,6359
974,8400	61,5579
975,8043	61,4711
976,7685	61,3821
977,7327	61,3057
978,6970	61,2566
979,6612	61,2431
980,6254	61,2646
981,5897	61,315
982,5539	61,3879
983,5181	61,4808
984,4824	61,5948
985,4466	61,7331
986,4108	61,898
987,3751	62,0903
988,3393	62,3098
989,3035	62,5554
990,2678	62,8245
991,2320	63,1108
992,1962	63,4045
993,1605	63,6942
994,1247	63,9699
995,0889	64,2264
996,0532	64,4634
997,0174	64,683
997,9816	64,8856
998,9459	65,0668
999,9101	65,2171
1000,8743	65,3235
1001,8386	65,3732
1002,8028	65,3579
1003,7670	65,2769
1004,7313	65,1387
1005,6955	64,9596
1006,6597	64,7588
1007,6240	64,5515
1008,5882	64,3434
1009,5524	64,1292
1010,5167	63,8968
1011,4809	63,6347
1012,4451	63,3391
1013,4094	63,0149
1014,3736	62,6731
1015,3378	62,3253
1016,3021	61,9809
1017,2663	61,6482
1018,2305	61,3356
1019,1948	61,049
1020,1590	60,7841
1021,1232	60,5198
1022,0875	60,2203
1023,0517	59,8501
1024,0160	59,3957
1024,9802	58,8795
1025,9445	58,3562
1026,9087	57,8866
1027,8729	57,5048
1028,8372	57,1971
1029,8014	56,9053
1030,7656	56,5542
1031,7299	56,0841
1032,6941	55,4739
1033,6583	54,7437
1034,6226	53,9418
1035,5868	53,1247
1036,5510	52,3391
1037,5153	51,6113
1038,4795	50,9441
1039,4437	50,3212
1040,4080	49,7182
1041,3722	49,1166
1042,3364	48,5166
1043,3007	47,939
1044,2649	47,4165
1045,2291	46,9775
1046,1934	46,6332
1047,1576	46,3763
1048,1218	46,1893
1049,0861	46,0566
1050,0503	45,9694
1051,0145	45,9216
1051,9788	45,9023
1052,9430	45,8932
1053,9072	45,877
1054,8715	45,8494
1055,8357	45,8274
1056,7999	45,8419
1057,7642	45,9179
1058,7284	46,0514
1059,6926	46,1999
1060,6569	46,296
1061,6211	46,2799
1062,5853	46,1351
1063,5496	45,9059
1064,5138	45,6853
1065,4780	45,5748
1066,4423	45,6371
1067,4065	45,8666
1068,3707	46,1954
1069,3350	46,5293
1070,2992	46,7919
1071,2634	46,9527
1072,2277	47,0296
1073,1919	47,0694
1074,1561	47,1223
1075,1204	47,2245
1076,0846	47,3933
1077,0488	47,6335
1078,0131	47,944
1078,9773	48,3226
1079,9415	48,7644
1080,9058	49,26
1081,8700	49,7952
1082,8342	50,3524
1083,7985	50,9151
1084,7627	51,4731
1085,7269	52,0258
1086,6912	52,5825
1087,6554	53,1577
1088,6196	53,7623
1089,5839	54,3957
1090,5481	55,0433
1091,5123	55,6819
1092,4766	56,2886
1093,4408	56,85
1094,4050	57,3641
1095,3693	57,8362
1096,3335	58,2726
1097,2977	58,677
1098,2620	59,0516
1099,2262	59,4015
1100,1904	59,737
1101,1547	60,0719
1102,1189	60,4175
1103,0831	60,7775
1104,0474	61,147
1105,0116	61,5159
1105,9758	61,8749
1106,9401	62,2204
1107,9043	62,5549
1108,8685	62,8839
1109,8328	63,2118
1110,7970	63,5393
1111,7612	63,864
1112,7255	64,1824
1113,6897	64,4918
1114,6539	64,7903
1115,6182	65,075
1116,5824	65,3416
1117,5466	65,5838
1118,5109	65,7965
1119,4751	65,9778
1120,4393	66,1307
1121,4036	66,2622
1122,3678	66,3802
1123,3320	66,4906
1124,2963	66,5957
1125,2605	66,6944
1126,2247	66,784
1127,1890	66,8617
1128,1532	66,9255
1129,1174	66,9737
1130,0817	67,0051
1131,0459	67,019
1132,0101	67,0163
1132,9744	67,0007
1133,9386	66,9781
1134,9028	66,9549
1135,8671	66,9359
1136,8313	66,9231
1137,7955	66,9157
1138,7598	66,9117
1139,7240	66,9095
1140,6882	66,9081
1141,6525	66,9063
1142,6167	66,9035
1143,5809	66,8995
1144,5452	66,896
1145,5094	66,896
1146,4736	66,9017
1147,4379	66,9133
1148,4021	66,9279
1149,3663	66,9431
1150,3306	66,9596
1151,2948	66,9831
1152,2590	67,0219
1153,2233	67,0829
1154,1875	67,1676
1155,1517	67,2719
1156,1160	67,3898
1157,0802	67,517
1158,0444	67,6533
1159,0087	67,8005
1159,9729	67,9599
1160,9371	68,1295
1161,9014	68,305
1162,8656	68,4812
1163,8298	68,6541
1164,7941	68,8221
1165,7583	68,9862
1166,7225	69,1495
1167,6868	69,3174
1168,6510	69,4956
1169,6152	69,6881
1170,5795	69,895
1171,5437	70,1118
1172,5079	70,3318
1173,4722	70,5493
1174,4364	70,7621
1175,4006	70,9715
1176,3649	71,179
1177,3291	71,3837
1178,2933	71,5818
1179,2576	71,7685
1180,2218	71,9425
1181,1860	72,1073
1182,1503	72,2704
1183,1145	72,4383
1184,0787	72,6135
1185,0430	72,7931
1186,0072	72,9702
1186,9714	73,1372
1187,9357	73,2877
1188,8999	73,4177
1189,8641	73,5249
1190,8284	73,6086
1191,7926	73,6694
1192,7568	73,71
1193,7211	73,7353
1194,6853	73,7505
1195,6495	73,7601
1196,6138	73,7651
1197,5780	73,7638
1198,5422	73,752
1199,5065	73,8219
1200,4707	73,7656
1201,4349	73,6881
1202,3992	73,5883
1203,3634	73,4653
1204,3276	73,3194
1205,2919	73,1522
1206,2561	72,9668
1207,2203	72,7663
1208,1846	72,5516
1209,1488	72,3206
1210,1130	72,0692
1211,0773	71,7942
1212,0415	71,4954
1213,0057	71,1764
1213,9700	70,8431
1214,9342	70,5005
1215,8984	70,1513
1216,8627	69,7963
1217,8269	69,4359
1218,7911	69,0702
1219,7554	68,7003
1220,7196	68,3283
1221,6838	67,9566
1222,6481	67,5884
1223,6123	67,2267
1224,5765	66,8745
1225,5408	66,5343
1226,5050	66,2082
1227,4692	65,8982
1228,4335	65,6062
1229,3977	65,3347
1230,3619	65,0869
1231,3262	64,867
1232,2904	64,679
1233,2546	64,5241
1234,2189	64,3959
1235,1831	64,2777
1236,1473	64,1445
1237,1116	63,9723
1238,0758	63,7507
1239,0400	63,4924
1240,0043	63,2311
1240,9685	63,0079
1241,9327	62,8512
1242,8970	62,7613
1243,8612	62,7114
1244,8254	62,6621
1245,7897	62,5836
1246,7539	62,4705
1247,7181	62,3417
1248,6824	62,2289
1249,6466	62,1604
1250,6108	62,1499
1251,5751	62,1953
1252,5393	62,2835
1253,5035	62,3985
1254,4678	62,5271
1255,4320	62,6623
1256,3962	62,8038
1257,3605	62,956
1258,3247	63,1252
1259,2889	63,3169
1260,2532	63,533
1261,2174	63,772
1262,1816	64,0319
1263,1459	64,3125
1264,1101	64,6154
1265,0743	64,9414
1266,0386	65,2875
1267,0028	65,646
1267,9670	66,0083
1268,9313	66,3681
1269,8955	66,7244
1270,8597	67,0797
1271,8240	67,4365
1272,7882	67,7935
1273,7524	68,1461
1274,7167	68,488
1275,6809	68,8149
1276,6451	69,1258
1277,6094	69,4227
1278,5736	69,7097
1279,5378	69,9908
1280,5021	70,2679
1281,4663	70,5394
1282,4305	70,8
1283,3948	71,0417
1284,3590	71,2562
1285,3232	71,4391
1286,2875	71,5916
1287,2517	71,721
1288,2159	71,8368
1289,1802	71,9454
1290,1444	72,0462
1291,1086	72,1324
1292,0729	72,1947
1293,0371	72,2271
1294,0013	72,2292
1294,9656	72,2061
1295,9298	72,1644
1296,8940	72,1079
1297,8583	72,0356
1298,8225	71,9428
1299,7867	71,8252
1300,7510	71,6817
1301,7152	71,5135
1302,6794	71,3242
1303,6437	71,1163
1304,6079	70,891
1305,5721	70,649
1306,5364	70,3913
1307,5006	70,1183
1308,4648	69,8276
1309,4291	69,5135
1310,3933	69,1707
1311,3575	68,7996
1312,3218	68,4093
1313,2860	68,0139
1314,2502	67,6229
1315,2145	67,2337
1316,1787	66,8337
1317,1429	66,41
1318,1072	65,9613
1319,0714	65,5005
1320,0356	65,0464
1320,9999	64,6109
1321,9641	64,1932
1322,9283	63,7841
1323,8926	63,3745
1324,8568	62,9602
1325,8210	62,542
1326,7853	62,1211
1327,7495	61,6961
1328,7137	61,2636
1329,6780	60,8217
1330,6422	60,374
1331,6064	59,9293
1332,5707	59,4975
1333,5349	59,0815
1334,4991	58,6724
1335,4634	58,2498
1336,4276	57,7904
1337,3918	57,2873
1338,3561	56,7718
1339,3203	56,309
1340,2845	55,9543
1341,2488	55,7119
1342,2130	55,5454
1343,1772	55,4137
1344,1415	55,2916
1345,1057	55,1714
1346,0699	55,0594
1347,0342	54,972
1347,9984	54,9273
1348,9626	54,9372
1349,9269	55,0021
1350,8911	55,1147
1351,8553	55,2669
1352,8196	55,4548
1353,7838	55,678
1354,7480	55,9313
1355,7123	56,1986
1356,6765	56,4564
1357,6407	56,686
1358,6050	56,8849
1359,5692	57,0688
1360,5334	57,2698
1361,4977	57,5236
1362,4619	57,8384
1363,4261	58,173
1364,3904	58,468
1365,3546	58,6976
1366,3188	58,8768
1367,2831	59,0345
1368,2473	59,1897
1369,2115	59,3454
1370,1758	59,4945
1371,1400	59,6325
1372,1042	59,7656
1373,0685	59,9123
1374,0327	60,0921
1374,9969	60,306
1375,9612	60,5297
1376,9254	60,738
1377,8896	60,9271
1378,8539	61,1096
1379,8181	61,2962
1380,7823	61,4843
1381,7466	61,6636
1382,7108	61,8303
1383,6750	61,997
1384,6393	62,1897
1385,6035	62,4345
1386,5677	62,7317
1387,5320	63,0249
1388,4962	63,219
1389,4604	63,2557
1390,4247	63,154
1391,3889	62,9798
1392,3531	62,8065
1393,3174	62,7058
1394,2816	62,744
1395,2458	62,9529
1396,2101	63,2904
1397,1743	63,6508
1398,1385	63,9314
1399,1028	64,0867
1400,0670	64,1285
1401,0313	64,099
1401,9955	64,0471
1402,9597	64,0173
1403,9240	64,0467
1404,8882	64,1571
1405,8524	64,3434
1406,8167	64,5759
1407,7809	64,8292
1408,7451	65,107
1409,7094	65,4353
1410,6736	65,8326
1411,6378	66,2844
1412,6021	66,7474
1413,5663	67,1849
1414,5305	67,5999
1415,4948	68,0377
1416,4590	68,5702
1417,4232	69,2694
1418,3875	70,1308
1419,3517	71,0004
1420,3159	71,6873
1421,2802	72,1618
1422,2444	72,5452
1423,2086	72,9667
1424,1729	73,4738
1425,1371	74,0334
1426,1013	74,587
1427,0656	75,1048
1428,0298	75,6002
1428,9940	76,1031
1429,9583	76,6204
1430,9225	77,1248
1431,8867	77,5902
1432,8510	78,0302
1433,8152	78,4921
1434,7794	79,0266
1435,7437	79,6572
1436,7079	80,3333
1437,6721	80,9194
1438,6364	81,316
1439,6006	81,5636
1440,5648	81,7754
1441,5291	82,0285
1442,4933	82,3283
1443,4575	82,6329
1444,4218	82,8991
1445,3860	83,1169
1446,3502	83,3142
1447,3145	83,5317
1448,2787	83,7875
1449,2429	84,0641
1450,2072	84,3391
1451,1714	84,6237
1452,1356	84,9575
1453,0999	85,3642
1454,0641	85,8127
1455,0283	86,2414
1455,9926	86,7221
1456,9568	87,5712
1457,9210	88,7891
1458,8853	89,7907
1459,8495	90,3255
1460,8137	90,6206
1461,7780	90,9325
1462,7422	91,38
1463,7064	91,9676
1464,6707	92,6257
1465,6349	93,236
1466,5991	93,7054
1467,5634	94,0487
1468,5276	94,3488
1469,4918	94,6473
1470,4561	94,8917
1471,4203	94,9935
1472,3845	94,9898
1473,3488	95,0915
1474,3130	95,3912
1475,2772	95,7298
1476,2415	95,9666
1477,2057	96,0964
1478,1699	96,1695
1479,1342	96,2309
1480,0984	96,3069
1481,0626	96,4059
1482,0269	96,5198
1482,9911	96,6291
1483,9553	96,7125
1484,9196	96,7471
1485,8838	96,701
1486,8480	96,5456
1487,8123	96,3311
1488,7765	96,2536
1489,7407	96,477
1490,7050	96,8732
1491,6692	97,2128
1492,6334	97,431
1493,5977	97,5704
1494,5619	97,6493
1495,5261	97,6384
1496,4904	97,5328
1497,4546	97,4165
1498,4188	97,3745
1499,3831	97,406
1500,3473	97,4613
1501,3115	97,5976
1502,2758	97,8962
1503,2400	98,3622
1504,2042	98,8407
1505,1685	98,9837
1506,1327	98,4788
1507,0969	97,7113
1508,0612	97,4931
1509,0254	97,6732
1509,9896	97,8106
1510,9539	97,8734
1511,9181	97,9405
1512,8823	98,0174
1513,8466	98,0472
1514,8108	97,9804
1515,7750	97,8334
1516,7393	97,6821
1517,7035	97,5886
1518,6677	97,5369
1519,6320	97,4502
1520,5962	97,2745
1521,5604	97,0394
1522,5247	96,8266
1523,4889	96,6966
1524,4531	96,665
1525,4174	96,7124
1526,3816	96,7961
1527,3458	96,8727
1528,3101	96,9248
1529,2743	96,9583
1530,2385	96,9643
1531,2028	96,8935
1532,1670	96,6935
1533,1312	96,3928
1534,0955	96,1152
1535,0597	95,9847
1536,0239	96,0479
1536,9882	96,2417
1537,9524	96,3391
1538,9166	95,9316
1539,8809	94,7463
1540,8451	93,3972
1541,8093	92,9209
1542,7736	93,1735
1543,7378	93,5236
1544,7020	93,7437
1545,6663	93,831
1546,6305	93,813
1547,5947	93,7133
1548,5590	93,5536
1549,5232	93,3479
1550,4874	93,1014
1551,4517	92,8235
1552,4159	92,5475
1553,3801	92,3345
1554,3444	92,2475
1555,3086	92,3013
1556,2728	92,4209
1557,2371	92,5051
1558,2013	92,6501
1559,1655	92,9349
1560,1298	92,9212
1561,0940	92,4282
1562,0582	91,7682
1563,0225	91,2375
1563,9867	90,9486
1564,9509	90,8803
1565,9152	90,9462
1566,8794	91,0509
1567,8436	91,1425
1568,8079	91,2293
1569,7721	91,3283
1570,7363	91,42
1571,7006	91,4929
1572,6648	91,5704
1573,6290	91,6712
1574,5933	91,7908
1575,5575	91,9475
1576,5217	92,1852
1577,4860	92,4544
1578,4502	92,6405
1579,4144	92,7361
1580,3787	92,8231
1581,3429	92,9603
1582,3071	93,1443
1583,2714	93,3349
1584,2356	93,4951
1585,1998	93,6136
1586,1641	93,7013
1587,1283	93,7738
1588,0925	93,8381
1589,0568	93,8926
1590,0210	93,933
1590,9852	93,9577
1591,9495	93,9696
1592,9137	93,9762
1593,8779	93,9896
1594,8422	94,0205
1595,8064	94,0685
1596,7706	94,117
1597,7349	94,1413
1598,6991	94,1222
1599,6633	94,0561
1600,6276	93,9564
1601,5918	93,8449
1602,5560	93,7373
1603,5203	93,6329
1604,4845	93,5192
1605,4487	93,3855
1606,4130	93,2313
1607,3772	93,0666
1608,3414	92,9048
1609,3057	92,7544
1610,2699	92,6173
1611,2341	92,4992
1612,1984	92,4107
1613,1626	92,3405
1614,1268	92,2286
1615,0911	91,9965
1616,0553	91,6414
1617,0195	91,2589
1617,9838	90,9144
1618,9480	90,6004
1619,9122	90,3095
1620,8765	90,0364
1621,8407	89,7574
1622,8049	89,4588
1623,7692	89,168
1624,7334	88,923
1625,6976	88,7237
1626,6619	88,5366
1627,6261	88,33
1628,5903	88,0994
1629,5546	87,8766
1630,5188	87,7147
1631,4830	87,6503
1632,4473	87,6533
1633,4115	87,5987
1634,3757	87,3286
1635,3400	86,8606
1636,3042	86,4638
1637,2684	86,2683
1638,2327	86,1348
1639,1969	85,9753
1640,1611	85,8227
1641,1254	85,7321
1642,0896	85,7244
1643,0538	85,763
1644,0181	85,7456
1644,9823	85,5532
1645,9465	85,2007
1646,9108	84,9121
1647,8750	84,8767
1648,8392	85,0903
1649,8035	85,4971
1650,7677	86,0245
1651,7319	86,5329
1652,6962	86,9249
1653,6604	87,2346
1654,6246	87,3184
1655,5889	87,0522
1656,5531	86,6513
1657,5173	86,3649
1658,4816	86,287
1659,4458	86,3821
1660,4100	86,564
1661,3743	86,7725
1662,3385	86,9967
1663,3027	87,2235
1664,2670	87,4209
1665,2312	87,5787
1666,1954	87,7043
1667,1597	87,7875
1668,1239	87,8131
